Reportedarrest060708.csv
UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,men_total,women_total,Total,Weapon6,Drug6,Liquor6,Weapon7,Drug7,Liquor7,Weapon8,Drug8,Liquor8,FILTER06,FILTER07,FILTER08
10065401.0,Alabama A & M University,Main Campus,4107 MERIDIAN ST,NORMAL,AL,35762.0,1.0,Public, 4-year or above,2233.0,2891.0,5124.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10066301.0,University of Alabama at Birmingham,Main Campus,ADMINISTRATION BLDG SUITE 1070, 701 20th Street So,BIRMINGHAM,AL,352940110.0,1.0,Public, 4-year or above,6431.0,9718.0,16149.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10069001.0,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553.0,2.0,Private nonprofit, 4-year or above,348.0,357.0,705.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10070601.0,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899.0,1.0,Public, 4-year or above,4014.0,3417.0,7431.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10072401.0,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271.0,1.0,Public, 4-year or above,2237.0,3458.0,5695.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10075101.0,The University of Alabama,Main Campus,946 University Blvd,TUSCALOOSA,AL,354870180.0,1.0,Public, 4-year or above,12553.0,14461.0,27014.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10076001.0,Central Alabama Community College,Alexander City Campus,1675 CHEROKEE RD,ALEXANDER CITY,AL,350110699.0,4.0,Public, 2-year,740.0,1507.0,2247.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10076002.0,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044.0,4.0,Public, 2-year,740.0,1507.0,2247.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10081201.0,Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611.0,1.0,Public, 4-year or above,1103.0,2227.0,3330.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10083001.0,Auburn University-Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596.0,1.0,Public, 4-year or above,1936.0,3360.0,5296.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10085801.0,Auburn University Main Campus,Main Campus,107 Samford Hall,AUBURN UNIVERSITY,AL,36849.0,1.0,Public, 4-year or above,12525.0,12005.0,24530.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10093701.0,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254.0,2.0,Private nonprofit, 4-year or above,719.0,739.0,1458.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10102801.0,Chattahoochee Valley Community College,Main Campus,2602 COLLEGE DR,PHENIX CITY,AL,36869.0,4.0,Public, 2-year,621.0,1382.0,2003.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10107301.0,Concordia College-Selma,Main Campus,1804 GREEN ST,SELMA,AL,36701.0,2.0,Private nonprofit, 4-year or above,293.0,246.0,539.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10111601.0,South University-Montgomery,South University - Montgomery,5355 Vaughn Road,MONTGOMERY,AL,361161120.0,3.0,Private for-profit, 4-year or above,123.0,438.0,561.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
